 ,Label,Area,Mean,IntDen,RawIntDen
1,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:background:3,16.193,19.941,322.906,25066.000
2,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0003-0707-0859:3,156.210,251.617,39305.175,3051111.000
3,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0002-0517-0990:2,438.280,105.768,46355.772,3598422.000
4,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0002-0839-1075:2,283.513,79.459,22527.745,1748743.000
5,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0002-1105-1004:2,411.111,103.044,42362.699,3288455.000
6,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0003-0993-1230:3,305.077,162.606,49607.445,3850837.000
7,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0003-0958-1483:3,447.993,146.093,65448.542,5080521.000
8,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0003-1560-0883:3,337.386,209.549,70698.909,5488087.000
9,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0003-1740-0758:3,276.157,168.683,46583.092,3616068.000
10,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-1254-1277:4,391.376,50.019,19576.163,1519623.000
11,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-1360-1243:4,202.097,47.611,9622.049,746923.000
12,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-1379-1581:4,255.622,35.836,9160.413,711088.000
13,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-1626-1232:4,293.715,35.952,10559.555,819698.000
14,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-2108-1453:4,262.875,38.417,10098.924,783941.000
15,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-2105-1655:4,195.836,43.612,8540.777,662988.000
16,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-1853-1586:4,393.488,46.232,18191.798,1412160.000
17,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0004-2100-1821:4,329.695,49.300,16254.024,1261738.000
18,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0001-1910-2008:1,239.958,76.827,18435.234,1431057.000
19,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0001-1851-2560:1,380.580,30.994,11795.671,915653.000
20,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0001-1501-2446:1,204.081,41.859,8542.671,663135.000
21,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0001-1018-2006:1,452.888,74.243,33623.858,2610092.000
22,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV2_Stack.czi:0001-0947-2193:1,253.922,102.275,25969.792,2015936.000
