 ,Label,Area,Mean,IntDen,RawIntDen
1,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:background:1,37.410,31.889,1192.974,92606.000
2,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1705-1449:2,344.059,297.719,102433.018,7951485.000
3,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1758-1278:2,384.522,265.531,102102.549,7925832.000
4,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0305-1314:2,274.392,307.603,84403.652,6551934.000
5,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1682-0906:2,377.450,229.244,86527.948,6716835.000
6,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1411-0618:2,513.332,228.020,117050.159,9086158.000
7,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1440-0788:2,158.877,225.760,35867.958,2784293.000
8,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1172-0609:2,492.025,240.502,118332.883,9185731.000
9,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1171-0441:2,413.494,237.730,98300.134,7630665.000
10,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1201-0944:2,263.970,324.098,85552.233,6641094.000
11,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1053-0881:2,354.326,236.119,83663.283,6494462.000
12,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1268-1487:2,407.813,215.823,88015.306,6832293.000
13,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1383-1745:2,397.417,312.443,124170.307,9638868.000
14,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1586-2101:2,238.579,289.323,69026.458,5358261.000
15,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1547-1982:2,322.146,243.646,78489.540,6092844.000
16,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1368-2101:2,300.594,292.118,87809.152,6816290.000
17,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1158-2062:2,304.833,228.031,69511.165,5395887.000
18,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0559-0567:2,450.170,187.504,84408.521,6552312.000
19,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0408-0440:2,352.020,232.070,81693.458,6341552.000
20,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0288-0274:2,357.482,187.128,66894.922,5192798.000
21,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0592-1672:2,166.323,372.057,61881.485,4803624.000
22,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0703-1767:2,252.853,280.557,70939.730,5506781.000
23,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0756-1868:2,441.526,252.530,111498.682,8655218.000
24,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0410-2229:2,475.046,222.650,105768.851,8210433.000
25,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0515-2326:2,167.650,319.251,53522.374,4154738.000
26,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0550-2374:2,244.531,281.973,68950.981,5352402.000
27,MAX_20210719_Dynasore_5uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0501-2515:2,217.259,246.170,53482.786,4151665.000
