 ,Label,Area,Mean,IntDen,RawIntDen
1,selected_nuclei:0001 - ID 0001,43,1,43,43
2,selected_nuclei:0001 - ID 0001,61,1,61,61
3,selected_nuclei:0001 - ID 0001,72,1,72,72
4,selected_nuclei:0001 - ID 0001,97,1,97,97
5,selected_nuclei:0001 - ID 0001,156,1,156,156
6,selected_nuclei:0001 - ID 0001,87,1,87,87
7,selected_nuclei:0001 - ID 0001,55,1,55,55
8,selected_nuclei:0001 - ID 0001,193,1,193,193
9,selected_nuclei:0001 - ID 0001,68,1,68,68
10,selected_nuclei:0001 - ID 0001,67,1,67,67
11,selected_nuclei:0001 - ID 0001,780,1,780,780
12,selected_nuclei:0001 - ID 0001,305,1,305,305
13,selected_nuclei:0001 - ID 0001,120,1,120,120
14,selected_nuclei:0001 - ID 0001,303,1,303,303
15,selected_nuclei:0001 - ID 0001,44,1,44,44
16,selected_nuclei:0001 - ID 0001,107,1,107,107
17,selected_nuclei:0001 - ID 0001,67,1,67,67
18,selected_nuclei:0001 - ID 0001,55,1,55,55
19,selected_nuclei:0001 - ID 0001,71,1,71,71
20,selected_nuclei:0001 - ID 0001,115,1,115,115
21,selected_nuclei:0001 - ID 0001,70,1,70,70
22,selected_nuclei:0001 - ID 0001,41,1,41,41
23,selected_nuclei:0001 - ID 0001,295,1,295,295
24,selected_nuclei:0001 - ID 0001,87,1,87,87
25,selected_nuclei:0001 - ID 0001,78,1,78,78
26,selected_nuclei:0001 - ID 0001,61,1,61,61
27,selected_nuclei:0001 - ID 0001,438,0.998,437,437
28,selected_nuclei:0001 - ID 0001,142,1,142,142
29,selected_nuclei:0001 - ID 0001,260,1,260,260
30,selected_nuclei:0001 - ID 0001,54,1,54,54
31,selected_nuclei:0001 - ID 0001,128,1,128,128
32,selected_nuclei:0001 - ID 0001,100,1,100,100
33,selected_nuclei:0001 - ID 0001,155,1,155,155
34,selected_nuclei:0001 - ID 0001,133,1,133,133
35,selected_nuclei:0001 - ID 0001,111,1,111,111
36,selected_nuclei:0001 - ID 0001,59,1,59,59
37,selected_nuclei:0001 - ID 0001,175,1,175,175
38,selected_nuclei:0001 - ID 0001,81,1,81,81
39,selected_nuclei:0001 - ID 0001,83,1,83,83
40,selected_nuclei:0001 - ID 0001,210,1,210,210
41,selected_nuclei:0001 - ID 0001,231,1,231,231
42,selected_nuclei:0001 - ID 0001,59,1,59,59
43,selected_nuclei:0001 - ID 0001,84,1,84,84
44,selected_nuclei:0001 - ID 0001,88,1,88,88
45,selected_nuclei:0001 - ID 0001,231,0.996,230,230
46,selected_nuclei:0001 - ID 0001,60,1,60,60
47,selected_nuclei:0001 - ID 0001,59,1,59,59
48,selected_nuclei:0001 - ID 0001,180,1,180,180
49,selected_nuclei:0001 - ID 0001,75,1,75,75
50,selected_nuclei:0001 - ID 0001,396,1,396,396
51,selected_nuclei:0001 - ID 0001,170,1,170,170
52,selected_nuclei:0001 - ID 0001,70,1,70,70
53,selected_nuclei:0001 - ID 0001,50,1,50,50
54,selected_nuclei:0001 - ID 0001,260,1,260,260
55,selected_nuclei:0001 - ID 0001,66,1,66,66
56,selected_nuclei:0001 - ID 0001,66,1,66,66
57,selected_nuclei:0001 - ID 0001,110,1,110,110
58,selected_nuclei:0001 - ID 0001,901,0.998,899,899
59,selected_nuclei:0001 - ID 0001,88,1,88,88
60,selected_nuclei:0001 - ID 0001,126,1,126,126
61,selected_nuclei:0001 - ID 0001,261,1,261,261
62,selected_nuclei:0001 - ID 0001,197,1,197,197
63,selected_nuclei:0001 - ID 0001,93,1,93,93
64,selected_nuclei:0001 - ID 0001,267,1,267,267
65,selected_nuclei:0001 - ID 0001,15,1,15,15
66,selected_nuclei:0001 - ID 0001,61,1,61,61
67,selected_nuclei:0001 - ID 0001,5,1,5,5
68,selected_nuclei:0001 - ID 0001,203,1,203,203
69,selected_nuclei:0001 - ID 0001,161,1,161,161
70,selected_nuclei:0001 - ID 0001,12,1,12,12
71,selected_nuclei:0001 - ID 0001,8,1,8,8
72,selected_nuclei:0001 - ID 0001,67,1,67,67
73,selected_nuclei:0001 - ID 0001,163,1,163,163
74,selected_nuclei:0001 - ID 0001,113,1,113,113
75,selected_nuclei:0001 - ID 0001,60,1,60,60
