 ,Label,Area,Mean,IntDen,RawIntDen
1,selected_nuclei:0001 - ID 0001,222,1.000,222,222
2,selected_nuclei:0001 - ID 0001,163,1.000,163,163
3,selected_nuclei:0001 - ID 0001,78,1.000,78,78
4,selected_nuclei:0001 - ID 0001,91,1.000,91,91
5,selected_nuclei:0001 - ID 0001,125,1.000,125,125
6,selected_nuclei:0001 - ID 0001,219,1.000,219,219
7,selected_nuclei:0001 - ID 0001,1294,0.995,1287,1287
8,selected_nuclei:0001 - ID 0001,232,1.000,232,232
9,selected_nuclei:0001 - ID 0001,302,1.000,302,302
10,selected_nuclei:0001 - ID 0001,715,0.940,672,672
11,selected_nuclei:0001 - ID 0001,272,1.000,272,272
12,selected_nuclei:0001 - ID 0001,214,1.000,214,214
13,selected_nuclei:0001 - ID 0001,74,1.000,74,74
14,selected_nuclei:0001 - ID 0001,28,1.000,28,28
15,selected_nuclei:0001 - ID 0001,71,1.000,71,71
16,selected_nuclei:0001 - ID 0001,81,1.000,81,81
17,selected_nuclei:0001 - ID 0001,236,1.000,236,236
18,selected_nuclei:0001 - ID 0001,275,0.996,274,274
19,selected_nuclei:0001 - ID 0001,64,1.000,64,64
20,selected_nuclei:0001 - ID 0001,179,1.000,179,179
21,selected_nuclei:0001 - ID 0001,103,1.000,103,103
22,selected_nuclei:0001 - ID 0001,4,1.000,4,4
23,selected_nuclei:0001 - ID 0001,259,1.000,259,259
24,selected_nuclei:0001 - ID 0001,88,1.000,88,88
25,selected_nuclei:0001 - ID 0001,323,0.997,322,322
26,selected_nuclei:0001 - ID 0001,81,1.000,81,81
27,selected_nuclei:0001 - ID 0001,161,1.000,161,161
28,selected_nuclei:0001 - ID 0001,17,1.000,17,17
29,selected_nuclei:0001 - ID 0001,85,1.000,85,85
30,selected_nuclei:0001 - ID 0001,498,0.998,497,497
31,selected_nuclei:0001 - ID 0001,188,1.000,188,188
32,selected_nuclei:0001 - ID 0001,104,1.000,104,104
33,selected_nuclei:0001 - ID 0001,67,1.000,67,67
34,selected_nuclei:0001 - ID 0001,202,1.000,202,202
35,selected_nuclei:0001 - ID 0001,62,1.000,62,62
36,selected_nuclei:0001 - ID 0001,64,1.000,64,64
37,selected_nuclei:0001 - ID 0001,172,1.000,172,172
38,selected_nuclei:0001 - ID 0001,174,1.000,174,174
39,selected_nuclei:0001 - ID 0001,60,1.000,60,60
40,selected_nuclei:0001 - ID 0001,122,1.000,122,122
41,selected_nuclei:0001 - ID 0001,60,1.000,60,60
42,selected_nuclei:0001 - ID 0001,88,1.000,88,88
43,selected_nuclei:0001 - ID 0001,7,1.000,7,7
44,selected_nuclei:0001 - ID 0001,61,1.000,61,61
45,selected_nuclei:0001 - ID 0001,92,1.000,92,92
