 ,Label,Area,Mean,IntDen,RawIntDen
1,selected_nuclei:0001 - ID 0001,1342,0.999,1341,1341
2,selected_nuclei:0001 - ID 0001,135,1.000,135,135
3,selected_nuclei:0001 - ID 0001,490,1.000,490,490
4,selected_nuclei:0001 - ID 0001,360,1.000,360,360
5,selected_nuclei:0001 - ID 0001,380,1.000,380,380
6,selected_nuclei:0001 - ID 0001,1283,0.999,1282,1282
7,selected_nuclei:0001 - ID 0001,126,1.000,126,126
8,selected_nuclei:0001 - ID 0001,891,0.996,887,887
9,selected_nuclei:0001 - ID 0001,135,1.000,135,135
10,selected_nuclei:0001 - ID 0001,172,1.000,172,172
11,selected_nuclei:0001 - ID 0001,121,1.000,121,121
