 ,Label,Area,Mean,IntDen,RawIntDen
1,selected_nuclei:0001 - ID 0001,81.082,1,81.082,120
2,selected_nuclei:0001 - ID 0001,41.217,1,41.217,61
3,selected_nuclei:0001 - ID 0001,22.973,1,22.973,34
4,selected_nuclei:0001 - ID 0001,42.568,1,42.568,63
5,selected_nuclei:0001 - ID 0001,48.649,1,48.649,72
6,selected_nuclei:0001 - ID 0001,65.541,1,65.541,97
7,selected_nuclei:0001 - ID 0001,105.407,1,105.407,156
8,selected_nuclei:0001 - ID 0001,58.785,1,58.785,87
9,selected_nuclei:0001 - ID 0001,37.163,1,37.163,55
10,selected_nuclei:0001 - ID 0001,130.407,1,130.407,193
11,selected_nuclei:0001 - ID 0001,45.947,1,45.947,68
12,selected_nuclei:0001 - ID 0001,206.084,1,206.084,305
13,selected_nuclei:0001 - ID 0001,81.082,1,81.082,120
14,selected_nuclei:0001 - ID 0001,204.732,1,204.732,303
15,selected_nuclei:0001 - ID 0001,6.757,1,6.757,10
16,selected_nuclei:0001 - ID 0001,29.730,1,29.730,44
17,selected_nuclei:0001 - ID 0001,72.298,1,72.298,107
18,selected_nuclei:0001 - ID 0001,45.271,1,45.271,67
19,selected_nuclei:0001 - ID 0001,37.163,1,37.163,55
20,selected_nuclei:0001 - ID 0001,33.784,1,33.784,50
21,selected_nuclei:0001 - ID 0001,47.974,1,47.974,71
22,selected_nuclei:0001 - ID 0001,77.704,1,77.704,115
23,selected_nuclei:0001 - ID 0001,47.298,1,47.298,70
24,selected_nuclei:0001 - ID 0001,27.703,1,27.703,41
25,selected_nuclei:0001 - ID 0001,199.327,1,199.327,295
26,selected_nuclei:0001 - ID 0001,58.785,1,58.785,87
27,selected_nuclei:0001 - ID 0001,52.703,1,52.703,78
28,selected_nuclei:0001 - ID 0001,41.217,1,41.217,61
29,selected_nuclei:0001 - ID 0001,84.461,1,84.461,125
30,selected_nuclei:0001 - ID 0001,175.678,1,175.678,260
31,selected_nuclei:0001 - ID 0001,36.487,1,36.487,54
32,selected_nuclei:0001 - ID 0001,86.488,1,86.488,128
33,selected_nuclei:0001 - ID 0001,67.568,1,67.568,100
34,selected_nuclei:0001 - ID 0001,104.731,1,104.731,155
35,selected_nuclei:0001 - ID 0001,89.866,1,89.866,133
36,selected_nuclei:0001 - ID 0001,33.109,1,33.109,49
37,selected_nuclei:0001 - ID 0001,75.001,1,75.001,111
38,selected_nuclei:0001 - ID 0001,39.865,1,39.865,59
39,selected_nuclei:0001 - ID 0001,54.730,1,54.730,81
40,selected_nuclei:0001 - ID 0001,56.082,1,56.082,83
41,selected_nuclei:0001 - ID 0001,141.894,1,141.894,210
42,selected_nuclei:0001 - ID 0001,156.083,1,156.083,231
43,selected_nuclei:0001 - ID 0001,39.865,1,39.865,59
44,selected_nuclei:0001 - ID 0001,56.757,1,56.757,84
45,selected_nuclei:0001 - ID 0001,28.379,1,28.379,42
46,selected_nuclei:0001 - ID 0001,156.083,0.996,155.407,230
47,selected_nuclei:0001 - ID 0001,40.541,1,40.541,60
48,selected_nuclei:0001 - ID 0001,39.865,1,39.865,59
49,selected_nuclei:0001 - ID 0001,50.676,1,50.676,75
50,selected_nuclei:0001 - ID 0001,267.571,1,267.571,396
51,selected_nuclei:0001 - ID 0001,114.866,1,114.866,170
52,selected_nuclei:0001 - ID 0001,47.298,1,47.298,70
53,selected_nuclei:0001 - ID 0001,15.541,1,15.541,23
54,selected_nuclei:0001 - ID 0001,175.678,1,175.678,260
55,selected_nuclei:0001 - ID 0001,44.595,1,44.595,66
56,selected_nuclei:0001 - ID 0001,44.595,1,44.595,66
57,selected_nuclei:0001 - ID 0001,74.325,1,74.325,110
58,selected_nuclei:0001 - ID 0001,604.737,0.998,603.386,893
59,selected_nuclei:0001 - ID 0001,85.136,1,85.136,126
60,selected_nuclei:0001 - ID 0001,176.354,1,176.354,261
61,selected_nuclei:0001 - ID 0001,133.110,1,133.110,197
62,selected_nuclei:0001 - ID 0001,35.136,1,35.136,52
63,selected_nuclei:0001 - ID 0001,180.408,1,180.408,267
64,selected_nuclei:0001 - ID 0001,41.217,1,41.217,61
65,selected_nuclei:0001 - ID 0001,137.164,1,137.164,203
66,selected_nuclei:0001 - ID 0001,108.785,1,108.785,161
67,selected_nuclei:0001 - ID 0001,2.703,1,2.703,4
68,selected_nuclei:0001 - ID 0001,45.271,1,45.271,67
69,selected_nuclei:0001 - ID 0001,110.136,1,110.136,163
70,selected_nuclei:0001 - ID 0001,102.704,1,102.704,152
71,selected_nuclei:0001 - ID 0001,50.676,1,50.676,75
