 ,Label,Area,Mean,IntDen,RawIntDen
1,selected_nuclei:0001 - ID 0001,150.002,1.000,150.002,222
2,selected_nuclei:0001 - ID 0001,42.568,1.000,42.568,63
3,selected_nuclei:0001 - ID 0001,52.703,1.000,52.703,78
4,selected_nuclei:0001 - ID 0001,61.487,1.000,61.487,91
5,selected_nuclei:0001 - ID 0001,84.461,1.000,84.461,125
6,selected_nuclei:0001 - ID 0001,147.975,1.000,147.975,219
7,selected_nuclei:0001 - ID 0001,874.335,0.995,869.605,1287
8,selected_nuclei:0001 - ID 0001,156.759,1.000,156.759,232
9,selected_nuclei:0001 - ID 0001,61.487,1.000,61.487,91
10,selected_nuclei:0001 - ID 0001,476.357,0.939,447.303,662
11,selected_nuclei:0001 - ID 0001,183.786,1.000,183.786,272
12,selected_nuclei:0001 - ID 0001,144.596,1.000,144.596,214
13,selected_nuclei:0001 - ID 0001,50.001,1.000,50.001,74
14,selected_nuclei:0001 - ID 0001,47.974,1.000,47.974,71
15,selected_nuclei:0001 - ID 0001,54.730,1.000,54.730,81
16,selected_nuclei:0001 - ID 0001,159.461,1.000,159.461,236
17,selected_nuclei:0001 - ID 0001,185.813,0.996,185.137,274
18,selected_nuclei:0001 - ID 0001,43.244,1.000,43.244,64
19,selected_nuclei:0001 - ID 0001,80.406,1.000,80.406,119
20,selected_nuclei:0001 - ID 0001,69.595,1.000,69.595,103
21,selected_nuclei:0001 - ID 0001,175.002,1.000,175.002,259
22,selected_nuclei:0001 - ID 0001,59.460,1.000,59.460,88
23,selected_nuclei:0001 - ID 0001,218.246,0.997,217.570,322
24,selected_nuclei:0001 - ID 0001,13.514,1.000,13.514,20
25,selected_nuclei:0001 - ID 0001,108.785,1.000,108.785,161
26,selected_nuclei:0001 - ID 0001,57.433,1.000,57.433,85
27,selected_nuclei:0001 - ID 0001,336.491,0.998,335.815,497
28,selected_nuclei:0001 - ID 0001,1.351,1.000,1.351,2
29,selected_nuclei:0001 - ID 0001,0.676,1.000,0.676,1
30,selected_nuclei:0001 - ID 0001,70.271,1.000,70.271,104
31,selected_nuclei:0001 - ID 0001,45.271,1.000,45.271,67
32,selected_nuclei:0001 - ID 0001,24.325,1.000,24.325,36
33,selected_nuclei:0001 - ID 0001,43.244,1.000,43.244,64
34,selected_nuclei:0001 - ID 0001,116.218,1.000,116.218,172
35,selected_nuclei:0001 - ID 0001,117.569,1.000,117.569,174
36,selected_nuclei:0001 - ID 0001,40.541,1.000,40.541,60
37,selected_nuclei:0001 - ID 0001,82.433,1.000,82.433,122
38,selected_nuclei:0001 - ID 0001,10.135,1.000,10.135,15
39,selected_nuclei:0001 - ID 0001,59.460,1.000,59.460,88
