 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,NeuralCrestChannel:0913-0815,63.514,1714.468,669.423,750.591,0.874,108893.233,161160.000,1.235,0.810,0.926
2,NeuralCrestChannel:0729-0351,69.595,1228.612,288.159,599.074,0.908,85505.783,126547.000,1.164,0.859,0.958
3,NeuralCrestChannel:0600-1204,45.271,1086.254,990.197,494.040,0.817,49175.606,72779.000,1.084,0.922,0.964
4,NeuralCrestChannel:0777-0901,51.352,1019.145,740.654,638.543,0.800,52335.104,77455.000,1.052,0.951,0.938
5,NeuralCrestChannel:0707-0662,65.541,1144.505,544.668,581.175,0.886,75012.411,111017.000,1.138,0.879,0.975
6,NeuralCrestChannel:0625-0869,64.866,1832.125,714.224,513.810,0.848,118842.005,175884.000,1.154,0.866,0.932
7,NeuralCrestChannel:0799-0773,53.379,1141.456,635.089,656.970,0.834,60929.805,90175.000,1.214,0.824,0.975
8,NeuralCrestChannel:0740-0937,56.757,1360.452,771.046,608.711,0.868,77215.816,114278.000,1.192,0.839,0.939
9,NeuralCrestChannel:0630-1163,80.406,1034.185,955.955,518.589,0.912,83155.079,123068.000,1.338,0.748,0.952
10,NeuralCrestChannel:0803-0654,72.298,1352.710,537.930,660.523,0.855,97798.502,144740.000,1.660,0.602,0.982
11,NeuralCrestChannel:0699-0756,60.812,805.444,621.733,574.898,0.875,48980.333,72490.000,1.284,0.779,0.963
12,NeuralCrestChannel:0786-1017,79.731,598.780,836.197,646.559,0.890,47741.129,70656.000,1.365,0.732,0.963
13,NeuralCrestChannel:0596-1116,51.352,1700.105,917.255,490.453,0.861,87303.778,129208.000,1.148,0.871,0.916
14,NeuralCrestChannel:0921-0910,53.379,953.759,748.212,757.005,0.866,50910.762,75347.000,1.120,0.893,0.963
15,NeuralCrestChannel:0634-0286,47.974,1287.761,235.341,521.061,0.842,61778.464,91431.000,1.126,0.888,0.928
16,NeuralCrestChannel:0646-0742,91.893,1086.346,610.063,531.018,0.888,99827.581,147743.000,1.407,0.711,0.965
17,NeuralCrestChannel:0707-0440,61.487,1153.791,361.856,581.402,0.872,70943.442,104995.000,1.138,0.879,0.968
18,NeuralCrestChannel:0696-1175,71.623,1088.075,965.873,572.128,0.847,77930.690,115336.000,1.466,0.682,0.946
19,NeuralCrestChannel:0703-0649,74.325,700.191,533.403,578.210,0.920,52041.857,77021.000,1.280,0.781,0.965
20,NeuralCrestChannel:0578-1198,65.541,1013.412,984.896,475.146,0.883,66420.413,98301.000,1.148,0.871,0.942
21,NeuralCrestChannel:0598-1066,50.676,1242.200,876.016,491.781,0.825,62950.100,93165.000,1.190,0.840,0.932
22,NeuralCrestChannel:0732-1169,53.379,1445.557,961.048,602.281,0.825,77162.437,114199.000,1.086,0.921,0.940
23,NeuralCrestChannel:0877-0822,56.757,1101.810,675.958,720.953,0.879,62535.906,92552.000,1.175,0.851,0.944
24,NeuralCrestChannel:0720-0455,58.109,1053.756,373.886,591.783,0.819,61232.511,90623.000,1.187,0.843,0.977
25,NeuralCrestChannel:0699-1152,70.271,766.096,947.450,574.641,0.903,53834.447,79674.000,1.337,0.748,0.981
26,NeuralCrestChannel:0774-1135,51.352,719.408,932.894,636.866,0.875,36943.023,54675.000,1.140,0.877,1.020
27,NeuralCrestChannel:0710-0679,67.568,1153.540,558.138,584.105,0.877,77942.852,115354.000,1.207,0.829,0.990
28,NeuralCrestChannel:0676-0947,52.028,882.169,778.055,555.784,0.846,45897.187,67927.000,1.177,0.849,0.939
29,NeuralCrestChannel:0623-0886,54.055,1395.263,728.641,512.106,0.847,75420.524,111621.000,1.193,0.838,0.947
30,NeuralCrestChannel:0723-1084,70.271,1047.962,891.419,593.879,0.921,73641.448,108988.000,1.196,0.836,0.945
31,NeuralCrestChannel:0609-0896,36.487,1261.352,737.182,500.035,0.821,46022.864,68113.000,1.174,0.852,0.923
32,NeuralCrestChannel:0661-1088,58.785,910.552,894.010,543.536,0.817,53526.335,79218.000,1.506,0.664,0.906
33,NeuralCrestChannel:0678-0326,68.920,923.608,268.262,557.864,0.921,63654.838,94208.000,1.342,0.745,0.981
34,NeuralCrestChannel:0809-1002,126.353,457.503,823.791,665.295,0.957,57806.793,85553.000,1.241,0.806,0.984
35,NeuralCrestChannel:0764-1079,39.190,790.086,886.966,628.235,0.827,30963.219,45825.000,1.173,0.853,0.967
36,NeuralCrestChannel:0608-0792,33.784,881.640,651.451,500.253,0.721,29785.502,44082.000,1.042,0.960,0.870
37,NeuralCrestChannel:0704-0587,64.190,1008.789,482.925,579.047,0.873,64754.176,95835.000,1.360,0.735,0.995
38,NeuralCrestChannel:0608-0294,58.785,1221.782,241.833,499.526,0.841,71821.831,106295.000,1.385,0.722,0.967
39,NeuralCrestChannel:0891-0679,116.218,1006.326,558.210,732.340,0.968,116952.792,173088.000,1.045,0.957,1.021
40,NeuralCrestChannel:0726-0925,60.812,701.211,760.505,597.311,0.866,42641.742,63109.000,1.205,0.830,0.957
41,NeuralCrestChannel:0604-1191,74.325,854.964,979.271,496.974,0.918,63545.377,94046.000,1.244,0.804,0.991
42,NeuralCrestChannel:0606-1144,68.920,990.598,940.803,497.858,0.864,68271.787,101041.000,1.346,0.743,0.990
43,NeuralCrestChannel:0813-0785,45.947,1319.971,644.835,668.262,0.884,60648.044,89758.000,1.209,0.827,0.965
44,NeuralCrestChannel:0727-0672,91.893,683.765,552.934,598.247,0.920,62833.207,92992.000,1.256,0.796,0.978
45,NeuralCrestChannel:0768-0941,57.433,799.482,773.217,631.630,0.834,45916.782,67956.000,1.250,0.800,0.924
46,NeuralCrestChannel:0737-0883,60.812,1062.344,726.456,606.079,0.851,64602.823,95611.000,1.303,0.767,0.947
47,NeuralCrestChannel:0611-1103,63.514,1029.904,906.911,502.784,0.902,65413.644,96811.000,1.127,0.888,0.974
48,NeuralCrestChannel:0818-0895,59.460,668.125,735.896,672.630,0.863,39726.841,58795.000,1.011,0.989,0.951
49,NeuralCrestChannel:0661-0472,99.326,1428.361,388.680,543.759,0.879,141872.694,209969.000,1.598,0.626,0.987
50,NeuralCrestChannel:0682-0661,62.839,885.301,543.214,560.988,0.865,55631.091,82333.000,1.158,0.864,0.903
51,NeuralCrestChannel:0668-0490,48.649,1535.097,402.335,549.450,0.873,74681.325,110527.000,1.281,0.781,0.947
52,NeuralCrestChannel:0602-1018,63.514,1464.106,837.469,494.844,0.870,92991.686,137626.000,1.500,0.667,0.984
53,NeuralCrestChannel:0540-1191,65.541,1715.753,979.311,444.198,0.876,112452.737,166428.000,1.495,0.669,0.980
54,NeuralCrestChannel:0566-1198,74.325,1424.209,984.689,465.237,0.871,105854.682,156663.000,1.366,0.732,0.969
55,NeuralCrestChannel:0665-0574,50.001,718.595,471.884,546.308,0.840,35930.172,53176.000,1.364,0.733,0.908
56,NeuralCrestChannel:0794-0411,45.271,1673.403,337.652,652.797,0.794,75756.339,112118.000,1.189,0.841,0.912
57,NeuralCrestChannel:0783-1063,152.029,597.902,873.857,643.266,0.885,90898.417,134528.000,1.496,0.668,0.991
58,NeuralCrestChannel:0919-0935,64.190,865.589,768.765,755.007,0.867,55562.171,82231.000,1.264,0.791,0.969
59,NeuralCrestChannel:0698-0456,83.785,868.121,375.091,573.623,0.865,72735.356,107647.000,1.551,0.645,0.954
60,NeuralCrestChannel:0747-0399,85.812,1286.756,328.214,613.740,0.954,110418.928,163418.000,1.140,0.877,0.955
61,NeuralCrestChannel:0901-0607,47.298,841.529,498.872,740.387,0.797,39802.517,58907.000,1.352,0.740,0.972
62,NeuralCrestChannel:0591-1043,62.839,1350.376,857.527,486.222,0.820,84855.775,125585.000,1.517,0.659,0.949
63,NeuralCrestChannel:0651-0763,66.217,1048.112,627.371,534.661,0.887,69402.882,102715.000,1.289,0.776,0.985
64,NeuralCrestChannel:0627-1191,79.055,1210.786,979.090,515.967,0.855,95718.747,141662.000,1.581,0.633,0.959
65,NeuralCrestChannel:0789-0967,75.001,967.468,795.811,648.362,0.900,72561.029,107389.000,1.163,0.860,0.961
66,NeuralCrestChannel:0772-0370,56.757,1167.560,304.668,634.838,0.872,66267.708,98075.000,1.066,0.938,0.955
67,NeuralCrestChannel:0906-0914,82.433,713.893,751.706,744.941,0.844,58848.698,87095.000,1.594,0.627,0.938
