 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,NeuralCrestChannel:0249-0878,59.460,1872.580,721.950,204.865,0.909,111343.939,164787,1.085,0.922,0.962
2,NeuralCrestChannel:0472-0461,60.136,1199.596,378.817,388.423,0.822,72138.727,106764,1.298,0.770,0.957
3,NeuralCrestChannel:0358-0505,68.244,903.842,414.845,294.671,0.882,61681.841,91288,1.216,0.822,0.953
4,NeuralCrestChannel:0232-0813,50.676,1434.320,667.897,190.951,0.833,72686.031,107574,1.294,0.773,0.943
5,NeuralCrestChannel:0403-0662,78.379,986.500,544.837,331.727,0.866,77321.223,114434,1.362,0.734,0.971
6,NeuralCrestChannel:0392-0759,70.271,1086.683,623.629,322.414,0.888,76362.427,113015,1.276,0.784,0.954
7,NeuralCrestChannel:0485-0755,55.406,1156.024,620.500,398.610,0.857,64050.789,94794,1.068,0.936,0.976
8,NeuralCrestChannel:0431-0864,52.703,1189.885,710.661,355.136,0.844,62710.908,92811,1.312,0.762,0.994
9,NeuralCrestChannel:0474-0948,72.974,1072.722,779.804,389.643,0.885,78280.694,115854,1.343,0.744,0.973
10,NeuralCrestChannel:0346-0728,60.136,1228.101,598.910,284.934,0.873,73852.937,109301,1.235,0.810,0.932
11,NeuralCrestChannel:0319-0716,70.271,1518.365,589.129,263.048,0.899,106697.260,157910,1.252,0.799,0.945
12,NeuralCrestChannel:0371-0744,75.001,1327.667,611.261,305.366,0.898,99576.227,147371,1.287,0.777,0.987
13,NeuralCrestChannel:0433-0994,53.379,967.139,817.469,355.869,0.857,51624.960,76404,1.120,0.893,0.981
14,NeuralCrestChannel:0515-0584,54.730,1448.951,480.378,423.244,0.853,79301.653,117365,1.120,0.893,0.964
15,NeuralCrestChannel:0482-0473,48.649,1281.153,388.658,396.878,0.806,62327.119,92243,1.262,0.792,0.935
16,NeuralCrestChannel:0510-0826,54.055,846.438,678.941,419.600,0.853,45753.942,67715,1.291,0.774,0.958
17,NeuralCrestChannel:0361-0883,60.136,1086.742,725.720,296.451,0.865,65352.156,96720,1.131,0.884,0.962
18,NeuralCrestChannel:0354-0648,41.217,1775.951,532.528,291.237,0.827,73198.875,108333,1.067,0.937,0.953
19,NeuralCrestChannel:0298-0680,66.893,871.717,558.989,245.334,0.926,58311.529,86300,1.162,0.860,0.971
20,NeuralCrestChannel:0498-1070,75.677,506.080,879.775,409.554,0.927,38298.445,56681,1.157,0.864,1.018
21,NeuralCrestChannel:0445-0879,73.650,869.514,722.436,365.590,0.892,64039.302,94777,1.339,0.747,0.965
22,NeuralCrestChannel:0514-0286,50.001,1297.608,235.270,423.052,0.875,64881.205,96023,1.063,0.941,0.980
23,NeuralCrestChannel:0496-0454,68.920,1199.314,373.615,407.857,0.848,82656.424,122330,1.040,0.962,0.936
24,NeuralCrestChannel:0434-0885,76.352,889.796,726.928,357.159,0.811,67937.999,100547,1.607,0.622,0.950
25,NeuralCrestChannel:0367-0536,52.028,1042.857,440.875,301.904,0.852,54257.425,80300,1.222,0.818,0.917
26,NeuralCrestChannel:0283-0686,41.217,1108.361,564.209,232.687,0.829,45682.995,67610,1.076,0.929,0.946
27,NeuralCrestChannel:0537-0278,45.947,1125.191,228.975,441.462,0.820,51698.610,76513,1.044,0.958,1.030
28,NeuralCrestChannel:0501-0733,54.055,1215.800,603.019,411.925,0.836,65719.729,97264,1.422,0.703,0.952
29,NeuralCrestChannel:0531-0564,86.488,1265.008,464.366,437.317,0.934,109407.429,161921,1.265,0.791,0.959
30,NeuralCrestChannel:0440-0398,60.812,1556.122,327.448,361.954,0.892,94630.220,140051,1.086,0.920,0.938
